mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Amory Street,place-amory,31,4,11,23:00:00,3,0,36,11109
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,268,135,11,00:00:00,24,12,185,11110
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,46,18,11,01:00:00,4,2,25,11111
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,10,6,11,02:00:00,1,1,5,11112
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,1,2,11,03:00:00,0,0,1,11113
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,2,4,11,04:00:00,0,0,2,11114
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,57,36,11,05:00:00,5,3,25,11115
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,238,285,11,06:00:00,22,26,177,11116
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,306,436,11,07:00:00,28,40,234,11117
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,503,821,11,08:00:00,46,75,333,11118
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,918,1170,11,09:00:00,83,106,543,11119
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,1340,1579,11,10:00:00,122,144,792,11120
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,1633,1749,11,11:00:00,148,159,975,11121
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,2435,1969,11,12:00:00,221,179,1206,11122
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,2445,2106,11,13:00:00,222,191,1417,11123
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,2726,2214,11,14:00:00,248,201,1621,11124
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,2938,2336,11,15:00:00,267,212,1947,11125
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,3279,2274,11,16:00:00,298,207,2126,11126
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Arlington,place-armnl,3486,2172,11,17:00:00,317,197,2190,11127
