mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brookline Hills,place-brkhl,0,0,11,03:00:00,0,0,0,11250
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Coolidge Corner,place-cool,544,242,11,10:00:00,49,22,135,11251
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brookline Hills,place-brkhl,2,0,11,04:00:00,0,0,1,11252
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Chestnut Hill,place-chhil,35,3,11,06:00:00,3,0,22,11253
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,78,3,11,14:00:00,7,0,99,11254
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,64,7,11,15:00:00,6,1,90,11255
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,52,5,11,16:00:00,5,0,80,11256
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,61,2,11,17:00:00,6,0,76,11257
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,47,2,11,18:00:00,4,0,79,11258
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,54,5,11,19:00:00,5,0,44,11259
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,9,2,11,20:00:00,1,0,26,11260
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,16,1,11,21:00:00,1,0,21,11261
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,15,1,11,22:00:00,1,0,19,11262
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Eliot,place-eliot,9,1,11,23:00:00,1,0,13,11263
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Englewood Avenue,place-engav,0,0,11,00:00:00,0,0,0,11264
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Englewood Avenue,place-engav,0,0,11,01:00:00,0,0,0,11265
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Englewood Avenue,place-engav,0,0,11,02:00:00,0,0,0,11266
