stop_name,hr_pm,direction,avg_total_ons,avg_total_offs,avg_passenger_flow,delay_minutes
Assembly,2,SB,6479.0,1368.3333333333333,880.6666666666666,1.8166666666666669
Assembly,3,NB,1780.3333333333333,7749.0,813.3333333333334,-3.117948717948718
Assembly,3,SB,8216.666666666666,1504.6666666666667,883.6666666666666,0.7736111111111111
Assembly,4,NB,2250.6666666666665,8721.0,1121.0,-3.038888888888889
Assembly,4,SB,9428.333333333334,1378.0,850.3333333333334,1.0208333333333333
Assembly,5,NB,2601.3333333333335,9930.0,1468.6666666666667,-1.1513888888888888
Assembly,5,SB,9565.333333333334,1363.3333333333333,826.6666666666666,1.3499999999999999
Assembly,6,NB,2393.6666666666665,7433.333333333333,1075.3333333333333,4.520833333333333
Assembly,6,SB,8627.0,1128.6666666666667,747.6666666666666,4.505128205128205
Assembly,7,NB,1837.6666666666667,4966.666666666667,815.0,5.9750000000000005
Assembly,7,SB,6133.333333333333,702.6666666666666,502.3333333333333,5.554166666666667
Assembly,8,NB,1421.6666666666667,3444.0,617.6666666666666,2.2680555555555557
Assembly,8,SB,4039.6666666666665,381.3333333333333,312.3333333333333,4.85
Assembly,9,NB,1285.6666666666667,3209.0,591.6666666666666,0.3166666666666666
Assembly,9,SB,3423.6666666666665,283.6666666666667,262.3333333333333,3.0016666666666665
Assembly,10,NB,1056.0,3020.3333333333335,639.6666666666666,-3.9383333333333335
Assembly,10,SB,2359.0,133.0,206.33333333333334,1.2999999999999998
Assembly,11,NB,516.0,1947.3333333333333,509.3333333333333,-5.199999999999999
Assembly,11,SB,1184.3333333333333,86.33333333333333,119.66666666666667,0.915
Back Bay,2,NB,11017.333333333334,7337.0,1363.0,-3.1
Back Bay,2,SB,5225.0,11511.666666666666,879.6666666666666,-0.9
Back Bay,3,NB,15393.0,7013.666666666667,1498.0,-3.378205128205128
Back Bay,3,SB,6326.333333333333,14431.0,1059.0,1.3805555555555555
Back Bay,4,NB,20228.333333333332,6628.333333333333,1602.6666666666667,-3.4694444444444446
Back Bay,4,SB,7913.0,15119.0,1218.3333333333333,1.951388888888889
Back Bay,5,NB,25027.666666666668,5874.0,1674.0,-1.4875
Back Bay,5,SB,8966.666666666666,13578.0,1342.3333333333333,2.5180555555555553
Back Bay,6,NB,16217.0,4370.666666666667,1244.6666666666667,-0.1777777777777778
Back Bay,6,SB,6770.0,9944.0,1126.3333333333333,5.077777777777778
Back Bay,7,NB,11034.666666666666,2655.3333333333335,917.3333333333334,1.5097222222222222
Back Bay,7,SB,5077.666666666667,5716.0,846.3333333333334,6.9192307692307695
Back Bay,8,NB,7020.0,1613.3333333333333,616.6666666666666,1.9749999999999999
Back Bay,8,SB,3823.3333333333335,4044.6666666666665,701.6666666666666,6.7712121212121215
Back Bay,9,NB,6544.0,1259.3333333333333,561.6666666666666,-1.94
Back Bay,9,SB,3375.3333333333335,3878.0,667.6666666666666,4.14
Back Bay,10,NB,6653.333333333333,987.3333333333334,538.0,-4.7712121212121215
Back Bay,10,SB,2906.6666666666665,3879.6666666666665,607.6666666666666,2.401851851851852
Back Bay,11,NB,5521.0,511.0,402.3333333333333,-5.868518518518518
Back Bay,11,SB,2385.6666666666665,2380.6666666666665,496.0,2.2333333333333334
Chinatown,2,NB,5447.666666666667,3322.3333333333335,1480.3333333333333,-3.0166666666666666
Chinatown,2,SB,2890.3333333333335,4487.666666666667,1232.3333333333333,-1.2166666666666666
Chinatown,3,NB,6265.666666666667,3388.3333333333335,1710.3333333333333,-3.111111111111111
Chinatown,3,SB,3439.0,4877.666666666667,1392.3333333333333,0.9833333333333333
Chinatown,4,NB,7262.666666666667,3589.3333333333335,1856.3333333333333,-3.2680555555555557
Chinatown,4,SB,3749.3333333333335,4650.0,1490.3333333333333,1.3458333333333332
Chinatown,5,NB,7710.0,3850.6666666666665,1950.3333333333333,-1.5708333333333335
Chinatown,5,SB,4168.333333333333,4072.6666666666665,1513.0,2.023611111111111
Chinatown,6,NB,5872.0,3243.6666666666665,1405.6666666666667,2.755555555555555
Chinatown,6,SB,3225.0,3673.0,1245.6666666666667,4.927777777777778
Chinatown,7,NB,4852.0,2340.0,1119.6666666666667,3.5012820512820513
Chinatown,7,SB,2851.6666666666665,2335.0,920.0,6.170833333333333
Chinatown,8,NB,3724.3333333333335,1371.3333333333333,763.6666666666666,2.3138888888888887
Chinatown,8,SB,2707.3333333333335,1582.3333333333333,741.0,6.554545454545454
Chinatown,9,NB,4907.0,970.6666666666666,751.0,-1.8066666666666666
Chinatown,9,SB,3290.0,1418.3333333333333,703.0,3.806666666666667
Chinatown,10,NB,3385.0,547.3333333333334,700.3333333333334,-4.696666666666667
